COD_SEC_CNAE;COD_DIV_CNAE;COD_GRUPO_CNAE;COD_CNAE
A;01;011;01113
A;01;011;01121
A;01;011;01130
A;01;011;01148
A;01;011;01156
A;01;011;01164
A;01;011;01199
A;01;012;01211
A;01;012;01229
A;01;013;01318
A;01;013;01326
A;01;013;01334
A;01;013;01342
A;01;013;01351
A;01;013;01393
A;01;014;01415
A;01;014;01423
A;01;015;01512
A;01;015;01521
A;01;015;01539
A;01;015;01547
A;01;015;01555
A;01;015;01598
A;01;016;01610
A;01;016;01628
A;01;016;01636
A;01;017;01709
A;02;021;02101
A;02;022;02209
A;02;023;02306
A;03;031;03116
A;03;031;03124
A;03;032;03213
A;03;032;03221
B;05;050;05003
B;06;060;06000
B;07;071;07103
B;07;072;07219
B;07;072;07227
B;07;072;07235
B;07;072;07243
B;07;072;07251
B;07;072;07294
B;08;081;08100
B;08;089;08916
B;08;089;08924
B;08;089;08932
B;08;089;08991
B;09;091;09106
B;09;099;09904
C;10;101;10112
C;10;101;10121
C;10;101;10139
C;10;102;10201
C;10;103;10317
C;10;103;10325
C;10;103;10333
C;10;104;10414
C;10;104;10422
C;10;104;10431
C;10;105;10511
C;10;105;10520
C;10;105;10538
C;10;106;10619
C;10;106;10627
C;10;106;10635
C;10;106;10643
C;10;106;10651
C;10;106;10660
C;10;106;10694
C;10;107;10716
C;10;107;10724
C;10;108;10813
C;10;108;10821
C;10;109;10911
C;10;109;10929
C;10;109;10937
C;10;109;10945
C;10;109;10953
C;10;109;10961
C;10;109;10996
C;11;111;11119
C;11;111;11127
C;11;111;11135
C;11;112;11216
C;11;112;11224
C;12;121;12107
C;12;122;12204
C;13;131;13111
C;13;131;13120
C;13;131;13138
C;13;131;13146
C;13;132;13219
C;13;132;13227
C;13;132;13235
C;13;133;13308
C;13;134;13405
C;13;135;13511
C;13;135;13529
C;13;135;13537
C;13;135;13545
C;13;135;13596
C;14;141;14118
C;14;141;14126
C;14;141;14134
C;14;141;14142
C;14;142;14215
C;14;142;14223
C;15;151;15106
C;15;152;15211
C;15;152;15297
C;15;153;15319
C;15;153;15327
C;15;153;15335
C;15;153;15394
C;15;154;15408
C;16;161;16102
C;16;162;16218
C;16;162;16226
C;16;162;16234
C;16;162;16293
C;17;171;17109
C;17;172;17214
C;17;172;17222
C;17;173;17311
C;17;173;17320
C;17;173;17338
C;17;174;17419
C;17;174;17427
C;17;174;17494
C;18;181;18113
C;18;181;18121
C;18;181;18130
C;18;182;18211
