COD_REGIAO;COD_UF;COD_MUNICIPIO;COD_UFMUN
1;11;00015;1100015
1;11;00379;1100379
1;11;00403;1100403
1;11;00346;1100346
1;11;00023;1100023
1;11;00452;1100452
1;11;00031;1100031
1;11;00601;1100601
1;11;00049;1100049
1;11;00700;1100700
1;11;00809;1100809
1;11;00908;1100908
1;11;00056;1100056
1;11;00924;1100924
1;11;00064;1100064
1;11;00072;1100072
1;11;00080;1100080
1;11;00940;1100940
1;11;00098;1100098
1;11;01005;1101005
1;11;00106;1100106
1;11;01104;1101104
1;11;00114;1100114
1;11;00122;1100122
1;11;00130;1100130
1;11;01203;1101203
1;11;01302;1101302
1;11;01401;1101401
1;11;00148;1100148
1;11;00338;1100338
1;11;01435;1101435
1;11;00502;1100502
1;11;00155;1100155
1;11;01450;1101450
1;11;00189;1100189
1;11;01468;1101468
1;11;00205;1100205
1;11;00254;1100254
1;11;01476;1101476
1;11;00262;1100262
1;11;00288;1100288
1;11;00296;1100296
1;11;01484;1101484
1;11;01492;1101492
1;11;00320;1100320
1;11;01500;1101500
1;11;01559;1101559
1;11;01609;1101609
1;11;01708;1101708
1;11;01757;1101757
1;11;01807;1101807
1;11;00304;1100304
1;12;00013;1200013
1;12;00054;1200054
1;12;00104;1200104
1;12;00138;1200138
1;12;00179;1200179
1;12;00203;1200203
1;12;00252;1200252
1;12;00302;1200302
1;12;00328;1200328
1;12;00336;1200336
1;12;00344;1200344
1;12;00351;1200351
1;12;00385;1200385
1;12;00807;1200807
1;12;00393;1200393
1;12;00401;1200401
1;12;00427;1200427
1;12;00435;1200435
1;12;00500;1200500
1;12;00450;1200450
1;12;00609;1200609
1;12;00708;1200708
1;13;00029;1300029
1;13;00060;1300060
1;13;00086;1300086
1;13;00102;1300102
1;13;00144;1300144
1;13;00201;1300201
1;13;00300;1300300
1;13;00409;1300409
1;13;00508;1300508
1;13;00607;1300607
1;13;00631;1300631
1;13;00680;1300680
1;13;00706;1300706
1;13;00805;1300805
1;13;00839;1300839
1;13;00904;1300904
1;13;01001;1301001
1;13;01100;1301100
1;13;01159;1301159
1;13;01209;1301209
1;13;01308;1301308
1;13;01407;1301407
1;13;01506;1301506
1;13;01605;1301605
1;13;01654;1301654
1;13;01704;1301704
1;13;01803;1301803
1;13;01852;1301852
1;13;01902;1301902
1;13;01951;1301951
1;13;02009;1302009
1;13;02108;1302108
1;13;02207;1302207
1;13;02306;1302306
1;13;02405;1302405
1;13;02504;1302504
1;13;02553;1302553
1;13;02603;1302603
1;13;02702;1302702
1;13;02801;1302801
1;13;02900;1302900
1;13;03007;1303007
1;13;03106;1303106
1;13;03205;1303205
1;13;03304;1303304
1;13;03403;1303403
1;13;03502;1303502
1;13;03536;1303536
1;13;03569;1303569
1;13;03601;1303601
1;13;03700;1303700
1;13;03809;1303809
1;13;03908;1303908
1;13;03957;1303957
1;13;04005;1304005
1;13;04062;1304062
1;13;04104;1304104
1;13;04203;1304203
1;13;04237;1304237
1;13;04260;1304260
1;13;04302;1304302
1;13;04401;1304401
1;14;00050;1400050
