COD_BASE;COD_VER_EXEC;COD_CUBE;DATA_EXEC;CUBE_START_TIME;CUBE_END_TIME;SELECT_TIME;WRITE_TIME;TOTAL_TIME;TUPLAS_GRAVADAS;VALORES_GRAVADOS;REGISTROS_SELECIONADOS
1;2;0001;2024-01-07 00:00;2025-01-07 03:04:07;2025-01-07 03:04:14;2,87;1,91;4,78;10540;105400;101150
1;2;0002;2024-01-07 00:00;2025-01-07 03:04:14;2025-01-07 03:04:24;5,20;3,46;8,66;28168;281680;101150
1;2;0003;2024-01-07 00:00;2025-01-07 03:04:24;2025-01-07 03:04:38;7,86;5,24;13,10;41127;411270;101150
1;2;0000;2024-01-07 00:00;2025-01-07 03:04:07;2025-01-07 03:04:38;15,92;10,62;26,54;79835;798350;303450
1;3;0001;2024-01-11 00:00;2025-01-07 03:04:38;2025-01-07 03:04:45;3,21;2,14;5,34;14084;140840;202300
1;3;0002;2024-01-11 00:00;2025-01-07 03:04:45;2025-01-07 03:04:55;5,51;3,68;9,19;44973;449730;202300
1;3;0003;2024-01-11 00:00;2025-01-07 03:04:55;2025-01-07 03:05:09;7,49;4,99;12,48;71676;716760;202300
1;3;0000;2024-01-11 00:00;2025-01-07 03:04:38;2025-01-07 03:05:09;16,21;10,81;27,01;130733;1307330;606900
1;4;0001;2024-01-15 00:00;2025-01-07 03:05:09;2025-01-07 03:05:17;3,56;2,37;5,94;16346;163460;303450
1;4;0002;2024-01-15 00:00;2025-01-07 03:05:17;2025-01-07 03:05:30;7,17;4,78;11,96;58219;582190;303450
1;4;0003;2024-01-15 00:00;2025-01-07 03:05:30;2025-01-07 03:05:46;9,01;6,01;15,02;97763;977630;303450
1;4;0000;2024-01-15 00:00;2025-01-07 03:05:09;2025-01-07 03:05:46;19,75;13,16;32,91;172328;1723280;910350
1;5;0001;2024-01-19 00:00;2025-01-07 03:05:46;2025-01-07 03:05:55;4,32;2,88;7,20;18149;181490;404600
1;5;0002;2024-01-19 00:00;2025-01-07 03:05:55;2025-01-07 03:06:09;7,92;5,28;13,21;69669;696690;404600
1;5;0003;2024-01-19 00:00;2025-01-07 03:06:10;2025-01-07 03:06:29;11,02;7,34;18,36;121493;1214930;404600
1;5;0000;2024-01-19 00:00;2025-01-07 03:05:46;2025-01-07 03:06:29;23,26;15,51;38,76;209311;2093110;1213800
1;6;0001;2024-01-23 00:00;2025-01-07 03:06:29;2025-01-07 03:06:39;4,63;3,09;7,72;19596;195960;505750
1;6;0002;2024-01-23 00:00;2025-01-07 03:06:39;2025-01-07 03:06:55;9,09;6,06;15,15;79680;796800;505750
1;6;0003;2024-01-23 00:00;2025-01-07 03:06:55;2025-01-07 03:07:17;11,93;7,95;19,88;142851;1428510;505750
