COD_BASE,COD_VER_EXEC,COD_CUBE,DATA_EXEC,CUBE_START_TIME,CUBE_END_TIME,SELECT_TIME,WRITE_TIME,TOTAL_TIME,TUPLAS_GRAVADAS,VALORES_GRAVADOS,REGISTROS_SELECIONADOS
1,1,0001,2024-01-03 00:00,2025-02-05 13:47:09,2025-02-05 13:47:30,12.14,8.10,20.24,41050,410500,6321759
1,1,0002,2024-01-03 00:00,2025-02-05 13:47:30,2025-02-05 13:47:59,17.04,11.36,28.40,341765,3417650,6321759
1,1,0003,2024-01-03 00:00,2025-02-05 13:48:00,2025-02-05 13:48:48,28.38,18.92,47.29,864169,8641690,6321759
1,1,0000,2024-01-03 00:00,2025-02-05 13:47:09,2025-02-05 13:48:48,57.56,38.37,95.93,1246984,12469840,18965277
2,1,0001,2024-01-03 00:00,2025-02-05 13:48:49,2025-02-05 13:49:11,12.30,8.20,20.50,41036,410360,6321759
2,1,0002,2024-01-03 00:00,2025-02-05 13:49:11,2025-02-05 13:49:41,17.40,11.60,29.01,342024,3420240,6321759
2,1,0003,2024-01-03 00:00,2025-02-05 13:49:41,2025-02-05 13:50:28,27.87,18.58,46.44,863982,8639820,6321759
2,1,0000,2024-01-03 00:00,2025-02-05 13:48:49,2025-02-05 13:50:28,57.57,38.38,95.95,1247042,12470420,18965277
3,1,0001,2024-01-03 00:00,2025-02-05 13:50:29,2025-02-05 13:50:50,12.06,8.04,20.10,41133,411330,6321759
3,1,0002,2024-01-03 00:00,2025-02-05 13:50:51,2025-02-05 13:51:21,17.55,11.70,29.25,341679,3416790,6321759
3,1,0003,2024-01-03 00:00,2025-02-05 13:51:21,2025-02-05 13:52:09,28.31,18.87,47.18,864233,8642330,6321759
3,1,0000,2024-01-03 00:00,2025-02-05 13:50:29,2025-02-05 13:52:09,57.92,38.61,96.53,1247045,12470450,18965277
4,1,0001,2024-01-03 00:00,2025-02-05 13:52:10,2025-02-05 13:52:32,12.18,8.12,20.30,41098,410980,6321759
4,1,0002,2024-01-03 00:00,2025-02-05 13:52:32,2025-02-05 13:53:01,17.22,11.48,28.70,341667,3416670,6321759
4,1,0003,2024-01-03 00:00,2025-02-05 13:53:01,2025-02-05 13:53:49,28.17,18.78,46.94,863621,8636210,6321759
4,1,0000,2024-01-03 00:00,2025-02-05 13:52:10,2025-02-05 13:53:49,57.57,38.38,95.94,1246386,12463860,18965277
5,1,0001,2024-01-03 00:00,2025-02-05 13:53:50,2025-02-05 13:54:12,12.18,8.12,20.30,41132,411320,6321759
5,1,0002,2024-01-03 00:00,2025-02-05 13:54:12,2025-02-05 13:54:41,17.07,11.38,28.44,342091,3420910,6321759
5,1,0003,2024-01-03 00:00,2025-02-05 13:54:41,2025-02-05 13:55:29,28.02,18.68,46.69,864438,8644380,6321759
5,1,0000,2024-01-03 00:00,2025-02-05 13:53:50,2025-02-05 13:55:29,57.26,38.18,95.44,1247661,12476610,18965277
6,1,0001,2024-01-03 00:00,2025-02-05 13:55:30,2025-02-05 13:55:52,12.18,8.12,20.30,41125,411250,6321759
6,1,0002,2024-01-03 00:00,2025-02-05 13:55:52,2025-02-05 13:56:21,17.24,11.49,28.74,341736,3417360,6321759
6,1,0003,2024-01-03 00:00,2025-02-05 13:56:22,2025-02-05 13:57:10,28.43,18.96,47.39,864558,8645580,6321759
6,1,0000,2024-01-03 00:00,2025-02-05 13:55:30,2025-02-05 13:57:10,57.86,38.57,96.43,1247419,12474190,18965277
7,1,0001,2024-01-03 00:00,2025-02-05 13:57:11,2025-02-05 13:57:33,12.31,8.20,20.51,41131,411310,6321759
7,1,0002,2024-01-03 00:00,2025-02-05 13:57:33,2025-02-05 13:58:03,17.46,11.64,29.09,341833,3418330,6321759
7,1,0003,2024-01-03 00:00,2025-02-05 13:58:03,2025-02-05 13:58:52,28.90,19.27,48.17,864163,8641630,6321759
7,1,0000,2024-01-03 00:00,2025-02-05 13:57:11,2025-02-05 13:58:52,58.66,39.11,97.77,1247127,12471270,18965277
8,1,0001,2024-01-03 00:00,2025-02-05 13:58:53,2025-02-05 13:59:15,12.31,8.20,20.51,41070,410700,6321759
8,1,0002,2024-01-03 00:00,2025-02-05 13:59:15,2025-02-05 13:59:45,17.40,11.60,29.00,341766,3417660,6321759
8,1,0003,2024-01-03 00:00,2025-02-05 13:59:45,2025-02-05 14:00:33,28.30,18.87,47.17,864032,8640320,6321759
8,1,0000,2024-01-03 00:00,2025-02-05 13:58:53,2025-02-05 14:00:33,58.01,38.67,96.69,1246868,12468680,18965277
1,2,0001,2024-01-07 00:00,2025-02-05 14:11:07,2025-02-05 14:11:13,2.83,1.89,4.72,10540,105400,101150
1,2,0002,2024-01-07 00:00,2025-02-05 14:11:13,2025-02-05 14:11:23,5.29,3.53,8.82,28168,281680,101150
1,2,0003,2024-01-07 00:00,2025-02-05 14:11:23,2025-02-05 14:11:37,7.75,5.17,12.92,41127,411270,101150
1,2,0000,2024-01-07 00:00,2025-02-05 14:11:07,2025-02-05 14:11:37,15.88,10.58,26.46,79835,798350,303450
1,3,0001,2024-01-11 00:00,2025-02-05 14:11:38,2025-02-05 14:11:44,3.22,2.15,5.37,14084,140840,202300
1,3,0002,2024-01-11 00:00,2025-02-05 14:11:45,2025-02-05 14:11:56,6.34,4.23,10.57,44973,449730,202300
1,3,0003,2024-01-11 00:00,2025-02-05 14:11:57,2025-02-05 14:12:15,10.06,6.71,16.77,71676,716760,202300
1,3,0000,2024-01-11 00:00,2025-02-05 14:11:38,2025-02-05 14:12:15,19.62,13.08,32.71,130733,1307330,606900
1,4,0001,2024-01-15 00:00,2025-02-05 14:12:15,2025-02-05 14:12:23,4.12,2.75,6.87,16346,163460,303450
1,4,0002,2024-01-15 00:00,2025-02-05 14:12:23,2025-02-05 14:12:37,7.45,4.97,12.42,58219,582190,303450
1,4,0003,2024-01-15 00:00,2025-02-05 14:12:38,2025-02-05 14:12:56,10.42,6.94,17.36,97763,977630,303450
1,4,0000,2024-01-15 00:00,2025-02-05 14:12:15,2025-02-05 14:12:56,21.99,14.66,36.65,172328,1723280,910350
1,5,0001,2024-01-19 00:00,2025-02-05 14:12:57,2025-02-05 14:13:04,4.04,2.70,6.74,18149,181490,404600
1,5,0002,2024-01-19 00:00,2025-02-05 14:13:05,2025-02-05 14:13:20,8.54,5.69,14.23,69669,696690,404600
1,5,0003,2024-01-19 00:00,2025-02-05 14:13:20,2025-02-05 14:13:41,11.92,7.95,19.87,121493,1214930,404600
1,5,0000,2024-01-19 00:00,2025-02-05 14:12:57,2025-02-05 14:13:41,24.50,16.34,40.84,209311,2093110,1213800
1,6,0001,2024-01-23 00:00,2025-02-05 14:13:42,2025-02-05 14:13:50,4.45,2.96,7.41,19596,195960,505750
1,6,0002,2024-01-23 00:00,2025-02-05 14:13:50,2025-02-05 14:14:08,9.53,6.35,15.88,79680,796800,505750
1,6,0003,2024-01-23 00:00,2025-02-05 14:14:08,2025-02-05 14:14:30,12.95,8.63,21.58,142851,1428510,505750
1,6,0000,2024-01-23 00:00,2025-02-05 14:13:42,2025-02-05 14:14:30,26.92,17.95,44.87,242127,2421270,1517250
1,7,0001,2024-01-27 00:00,2025-02-05 14:14:31,2025-02-05 14:14:40,4.80,3.20,7.99,20797,207970,606899
1,7,0002,2024-01-27 00:00,2025-02-05 14:14:40,2025-02-05 14:14:59,10.30,6.87,17.16,88775,887750,606899
1,7,0003,2024-01-27 00:00,2025-02-05 14:14:59,2025-02-05 14:15:22,13.14,8.76,21.90,162722,1627220,606899
1,7,0000,2024-01-27 00:00,2025-02-05 14:14:31,2025-02-05 14:15:22,28.23,18.82,47.06,272294,2722940,1820697
1,8,0001,2024-01-31 00:00,2025-02-05 14:15:22,2025-02-05 14:15:31,4.40,2.93,7.33,21791,217910,708048
1,8,0002,2024-01-31 00:00,2025-02-05 14:15:31,2025-02-05 14:15:51,11.33,7.55,18.88,96786,967860,708048
1,8,0003,2024-01-31 00:00,2025-02-05 14:15:51,2025-02-05 14:16:19,16.21,10.80,27.01,181361,1813610,708048
1,8,0000,2024-01-31 00:00,2025-02-05 14:15:22,2025-02-05 14:16:19,31.93,21.29,53.22,299938,2999380,2124144
1,9,0001,2024-02-04 00:00,2025-02-05 14:16:20,2025-02-05 14:16:31,5.50,3.67,9.17,22724,227240,809197
1,9,0002,2024-02-04 00:00,2025-02-05 14:16:31,2025-02-05 14:16:53,12.40,8.27,20.67,104501,1045010,809197
1,9,0003,2024-02-04 00:00,2025-02-05 14:16:53,2025-02-05 14:17:22,16.38,10.92,27.30,198899,1988990,809197
