COD_BASE,COD_VER_EXEC,COD_CUBE,DATA_EXEC,CUBE_START_TIME,CUBE_END_TIME,SELECT_TIME,WRITE_TIME,TOTAL_TIME,TUPLAS_GRAVADAS,VALORES_GRAVADOS,REGISTROS_SELECIONADOS
1,1,0001,2024-01-03 00:00,2025-02-05 02:12:39,2025-02-05 02:12:52,6.82,4.55,11.37,41050,410500,6321759
1,1,0002,2024-01-03 00:00,2025-02-05 02:12:52,2025-02-05 02:13:16,13.81,9.21,23.02,341765,3417650,6321759
1,1,0003,2024-01-03 00:00,2025-02-05 02:13:16,2025-02-05 02:14:02,26.63,17.76,44.39,864169,8641690,6321759
1,1,0000,2024-01-03 00:00,2025-02-05 02:12:39,2025-02-05 02:14:02,47.26,31.51,78.77,1246984,12469840,18965277
1,2,0001,2024-01-07 00:00,2025-02-05 02:14:03,2025-02-05 02:14:16,7.47,4.98,12.45,41048,410480,6334403
1,2,0002,2024-01-07 00:00,2025-02-05 02:14:16,2025-02-05 02:14:41,14.45,9.63,24.08,341637,3416370,6334403
1,2,0003,2024-01-07 00:00,2025-02-05 02:14:41,2025-02-05 02:15:30,29.01,19.34,48.34,863762,8637620,6334403
1,2,0000,2024-01-07 00:00,2025-02-05 02:14:03,2025-02-05 02:15:30,50.92,33.95,84.87,1246447,12464470,19003209
1,3,0001,2024-01-11 00:00,2025-02-05 02:15:31,2025-02-05 02:15:44,7.27,4.85,12.12,41042,410420,6347047
1,3,0002,2024-01-11 00:00,2025-02-05 02:15:44,2025-02-05 02:16:10,14.69,9.79,24.49,341506,3415060,6347047
1,3,0003,2024-01-11 00:00,2025-02-05 02:16:10,2025-02-05 02:17:08,34.37,22.91,57.28,863358,8633580,6347047
1,3,0000,2024-01-11 00:00,2025-02-05 02:15:31,2025-02-05 02:17:08,56.33,37.56,93.89,1245906,12459060,19041141
1,4,0001,2024-01-15 00:00,2025-02-05 02:17:09,2025-02-05 02:17:22,7.21,4.81,12.02,41036,410360,6359691
1,4,0002,2024-01-15 00:00,2025-02-05 02:17:22,2025-02-05 02:17:48,14.85,9.90,24.74,341414,3414140,6359691
1,4,0003,2024-01-15 00:00,2025-02-05 02:17:48,2025-02-05 02:18:58,41.16,27.44,68.60,862977,8629770,6359691
1,4,0000,2024-01-15 00:00,2025-02-05 02:17:09,2025-02-05 02:18:58,63.22,42.15,105.36,1245427,12454270,19079073
