COD_BASE;COD_VER_EXEC;COD_CUBE;DATA_EXEC;CUBE_START_TIME;CUBE_END_TIME;SELECT_TIME;WRITE_TIME;TOTAL_TIME;TUPLAS_GRAVADAS;VALORES_GRAVADOS;REGISTROS_SELECIONADOS
1;1;0001;2024-01-03 00:00;2025-01-06 05:11:49;2025-01-06 05:12:03;7,85;5,23;13,08;41050;410500;6321759
1;1;0002;2024-01-03 00:00;2025-01-06 05:12:03;2025-01-06 05:12:27;14,06;9,38;23,44;341765;3417650;6321759
1;1;0003;2024-01-03 00:00;2025-01-06 05:12:28;2025-01-06 05:13:11;25,57;17,05;42,62;864169;8641690;6321759
1;1;0000;2024-01-03 00:00;2025-01-06 05:11:49;2025-01-06 05:13:11;47,48;31,66;79,14;1246984;12469840;18965277
1;2;0001;2024-01-07 00:00;2025-01-06 05:13:12;2025-01-06 05:13:27;8,12;5,41;13,53;41048;410480;6334403
1;2;0002;2024-01-07 00:00;2025-01-06 05:13:27;2025-01-06 05:13:52;14,52;9,68;24,19;341637;3416370;6334403
1;2;0003;2024-01-07 00:00;2025-01-06 05:13:53;2025-01-06 05:14:37;25,93;17,28;43,21;863762;8637620;6334403
1;2;0000;2024-01-07 00:00;2025-01-06 05:13:12;2025-01-06 05:14:37;48,56;32,37;80,93;1246447;12464470;19003209
1;3;0001;2024-01-11 00:00;2025-01-06 05:14:38;2025-01-06 05:14:52;8,32;5,55;13,87;41042;410420;6347047
1;3;0002;2024-01-11 00:00;2025-01-06 05:14:52;2025-01-06 05:15:18;14,71;9,81;24,52;341506;3415060;6347047
1;3;0003;2024-01-11 00:00;2025-01-06 05:15:18;2025-01-06 05:16:01;24,99;16,66;41,65;863358;8633580;6347047
1;3;0000;2024-01-11 00:00;2025-01-06 05:14:38;2025-01-06 05:16:01;48,02;32,02;80,04;1245906;12459060;19041141
1;4;0001;2024-01-15 00:00;2025-01-06 05:16:02;2025-01-06 05:16:17;8,17;5,44;13,61;41036;410360;6359691
1;4;0002;2024-01-15 00:00;2025-01-06 05:16:17;2025-01-06 05:16:43;14,84;9,89;24,73;341414;3414140;6359691
1;4;0003;2024-01-15 00:00;2025-01-06 05:16:43;2025-01-06 05:17:25;24,88;16,59;41,47;862977;8629770;6359691
1;4;0000;2024-01-15 00:00;2025-01-06 05:16:02;2025-01-06 05:17:25;47,88;31,92;79,81;1245427;12454270;19079073
1;5;0001;2024-01-19 00:00;2025-01-06 05:17:27;2025-01-06 05:17:41;7,64;5,09;12,73;41029;410290;6372335
1;5;0002;2024-01-19 00:00;2025-01-06 05:17:41;2025-01-06 05:18:05;13,75;9,17;22,92;341302;3413020;6372335
1;5;0003;2024-01-19 00:00;2025-01-06 05:18:05;2025-01-06 05:18:48;25,04;16,70;41,74;862580;8625800;6372335
1;5;0000;2024-01-19 00:00;2025-01-06 05:17:27;2025-01-06 05:18:48;46,43;30,96;77,39;1244911;12449110;19117005
1;6;0001;2024-01-23 00:00;2025-01-06 05:18:50;2025-01-06 05:19:05;8,08;5,39;13,47;41018;410180;6384979
1;6;0002;2024-01-23 00:00;2025-01-06 05:19:05;2025-01-06 05:19:29;13,96;9,31;23,27;341181;3411810;6384979
1;6;0003;2024-01-23 00:00;2025-01-06 05:19:29;2025-01-06 05:20:11;24,33;16,22;40,55;862195;8621950;6384979
1;6;0000;2024-01-23 00:00;2025-01-06 05:18:50;2025-01-06 05:20:11;46,37;30,91;77,29;1244394;12443940;19154937
1;7;0001;2024-01-27 00:00;2025-01-06 05:20:13;2025-01-06 05:20:27;7,73;5,16;12,89;41018;410180;6397622
1;7;0002;2024-01-27 00:00;2025-01-06 05:20:27;2025-01-06 05:20:51;13,94;9,29;23,23;341028;3410280;6397622
1;7;0003;2024-01-27 00:00;2025-01-06 05:20:51;2025-01-06 05:21:33;24,77;16,51;41,28;861764;8617640;6397622
1;7;0000;2024-01-27 00:00;2025-01-06 05:20:13;2025-01-06 05:21:33;46,44;30,96;77,40;1243810;12438100;19192866
1;8;0001;2024-01-31 00:00;2025-01-06 05:21:36;2025-01-06 05:21:50;7,79;5,19;12,98;41007;410070;6410265
1;8;0002;2024-01-31 00:00;2025-01-06 05:21:50;2025-01-06 05:22:14;14,04;9,36;23,41;340903;3409030;6410265
1;8;0003;2024-01-31 00:00;2025-01-06 05:22:14;2025-01-06 05:22:53;22,67;15,11;37,79;861374;8613740;6410265
1;8;0000;2024-01-31 00:00;2025-01-06 05:21:36;2025-01-06 05:22:53;44,50;29,67;74,17;1243284;12432840;19230795
1;9;0001;2024-02-04 00:00;2025-01-06 05:22:55;2025-01-06 05:23:07;6,74;4,50;11,24;41000;410000;6422908
1;9;0002;2024-02-04 00:00;2025-01-06 05:23:07;2025-01-06 05:23:28;11,82;7,88;19,70;340779;3407790;6422908
1;9;0003;2024-02-04 00:00;2025-01-06 05:23:28;2025-01-06 05:24:04;21,37;14,25;35,62;860991;8609910;6422908
1;9;0000;2024-02-04 00:00;2025-01-06 05:22:55;2025-01-06 05:24:04;39,93;26,62;66,55;1242770;12427700;19268724
1;10;0001;2024-02-08 00:00;2025-01-06 05:24:06;2025-01-06 05:24:18;6,71;4,47;11,19;40991;409910;6435551
1;10;0002;2024-02-08 00:00;2025-01-06 05:24:19;2025-01-06 05:24:39;11,82;7,88;19,70;340654;3406540;6435551
1;10;0003;2024-02-08 00:00;2025-01-06 05:24:39;2025-01-06 05:25:15;21,14;14,10;35,24;860569;8605690;6435551
1;10;0000;2024-02-08 00:00;2025-01-06 05:24:06;2025-01-06 05:25:15;39,67;26,45;66,12;1242214;12422140;19306653
1;11;0001;2024-02-12 00:00;2025-01-06 05:25:17;2025-01-06 05:25:29;6,81;4,54;11,36;40985;409850;6448194
1;11;0002;2024-02-12 00:00;2025-01-06 05:25:29;2025-01-06 05:25:50;12,01;8,01;20,02;340504;3405040;6448194
1;11;0003;2024-02-12 00:00;2025-01-06 05:25:50;2025-01-06 05:26:27;21,32;14,21;35,53;860187;8601870;6448194
1;11;0000;2024-02-12 00:00;2025-01-06 05:25:17;2025-01-06 05:26:27;40,14;26,76;66,90;1241676;12416760;19344582
