TIPO	COD_VER_EXEC	COD_BASE	TOTAL_TIME
a	1	1	118.85
a	1	2	126.69
a	1	3	128.21
a	1	4	136.63
a	1	5	126.99
a	1	6	117.32
a	1	7	116.36
a	1	8	123.54
b	2	1	26.54
b	2	2	21.29
b	2	3	23.13
b	2	4	18.89
b	2	5	26.33
b	2	6	24.74
b	2	7	25.77
b	2	8	26.4
b	3	1	27.01
b	3	2	25.98
b	3	3	27.04
b	3	4	26.28
b	3	5	26.1
b	3	6	26.02
b	3	7	25.86
b	3	8	26.1
b	4	1	32.91
b	4	2	30.75
b	4	3	31.96
b	4	4	31.06
b	4	5	31.35
b	4	6	30.66
b	4	7	30.77
b	4	8	31.46
b	5	1	38.76
b	5	2	37.81
b	5	3	38.74
b	5	4	35.86
b	5	5	38.23
b	5	6	35.74
b	5	7	37.15
b	5	8	35.21
b	6	1	42.76
b	6	2	42.84
b	6	3	43.59
b	6	4	42.55
b	6	5	42.76
b	6	6	41.63
b	6	7	42.21
b	6	8	42.54
b	7	1	49.15
b	7	2	46.12
b	7	3	45.22
b	7	4	46.98
b	7	5	45.28
b	7	6	44.25
b	7	7	44.2
b	7	8	45.1
b	8	1	53.27
b	8	2	49.98
b	8	3	45.92
b	8	4	47.92
b	8	5	48.2
b	8	6	45.64
b	8	7	44.57
b	8	8	44.9
b	9	1	57.06
b	9	2	48.96
b	9	3	51.84
b	9	4	49.38
b	9	5	45
b	9	6	45.18
b	9	7	48.53
b	9	8	48.83
b	10	1	56.25
b	10	2	49.33
b	10	3	51.01
b	10	4	52.97
b	10	5	49.09
b	10	6	48.15
b	10	7	49.41
b	10	8	47.99
b	11	1	73.37
b	11	2	52.29
b	11	3	54.25
b	11	4	52.34
b	11	5	51.51
b	11	6	52.34
b	11	7	52.23
b	11	8	52.12
b	12	1	79.9
b	12	2	63.63
b	12	3	56.86
b	12	4	56.37
b	12	5	55.83
b	12	6	56.03
b	12	7	55.72
b	12	8	55.17
b	13	1	79.31
b	13	2	61.44
b	13	3	60.05
b	13	4	58.48
b	13	5	59.59
b	13	6	59.06
b	13	7	59.06
b	13	8	59.19
b	14	1	71.75
b	14	2	63.17
b	14	3	62.87
b	14	4	62.88
b	14	5	62.35
b	14	6	63.08
b	14	7	62.32
b	14	8	63.2
b	15	1	76.5
b	15	2	65.18
b	15	3	66.28
b	15	4	65.41
b	15	5	65.67
b	15	6	64.53
b	15	7	65.2
b	15	8	65.97
b	16	1	81.05
b	16	2	70.74
b	16	3	71.45
b	16	4	71.46
b	16	5	70.71
b	16	6	70.95
b	16	7	70.18
b	16	8	73.03
b	17	1	84.58
b	17	2	75.55
b	17	3	74.6
b	17	4	74.58
b	17	5	75.46
b	17	6	74.7
b	17	7	73.48
b	17	8	75.12
b	18	1	91.26
b	18	2	81.58
b	18	3	80.38
b	18	4	78.97
b	18	5	78.07
b	18	6	78.47
b	18	7	78.18
b	18	8	78.39
b	19	1	96.75
b	19	2	83.2
b	19	3	85.41
b	19	4	81.91
b	19	5	82.4
b	19	6	83.61
b	19	7	82.95
b	19	8	81.8
b	20	1	100.54
b	20	2	89.91
b	20	3	87.8
b	20	4	88.38
b	20	5	87.42
b	20	6	88.65
b	20	7	87.34
b	20	8	88.21
b	21	1	104.69
b	21	2	94.29
b	21	3	93.31
b	21	4	93.82
b	21	5	97.8
b	21	6	95.73
b	21	7	91.48
b	21	8	92.65
c	2	1	20.57
c	2	2	23.01
c	2	3	22.72
c	2	4	20.68
c	2	5	22.2
c	2	6	22.52
c	2	7	21.61
c	2	8	23.98
c	3	1	21.87
c	3	2	22.9
c	3	3	20.68
c	3	4	18.66
c	3	5	20.41
c	3	6	21.03
c	3	7	20.25
c	3	8	21.44
c	4	1	21.33
c	4	2	22.87
c	4	3	20.88
c	4	4	18.89
c	4	5	20.54
c	4	6	20.75
c	4	7	20.14
c	4	8	21.86
c	5	1	21.19
c	5	2	22.59
c	5	3	21.1
c	5	4	21.02
c	5	5	20.88
c	5	6	20.88
c	5	7	20.41
c	5	8	22.17
c	6	1	27.17
c	6	2	23.86
c	6	3	21.29
c	6	4	19.37
c	6	5	20.91
c	6	6	21.57
c	6	7	20.56
c	6	8	22.11
c	7	1	26.37
c	7	2	23.35
c	7	3	21.53
c	7	4	21.44
c	7	5	21.74
c	7	6	21.59
c	7	7	20.84
c	7	8	22.94
c	8	1	24.24
c	8	2	23.73
c	8	3	20.39
c	8	4	21.61
c	8	5	21.34
c	8	6	21.82
c	8	7	19.29
c	8	8	22.92
c	9	1	25.51
c	9	2	24.33
c	9	3	22.23
c	9	4	21.85
c	9	5	21.65
c	9	6	22.09
c	9	7	21.41
c	9	8	23.95
c	10	1	24.54
c	10	2	21.34
c	10	3	20.51
c	10	4	20.57
c	10	5	21.73
c	10	6	22.25
c	10	7	19.64
c	10	8	23.54
c	11	1	26.67
c	11	2	24.61
c	11	3	28.08
c	11	4	25.02
c	11	5	22.29
c	11	6	20.61
c	11	7	21.65
c	11	8	25.64
c	12	1	24.33
c	12	2	25.1
c	12	3	28.89
c	12	4	24.38
c	12	5	25.75
c	12	6	24.29
c	12	7	22.05
c	12	8	28.45
c	13	1	24.69
c	13	2	24.23
c	13	3	29.16
c	13	4	28.12
c	13	5	27.41
c	13	6	26.3
c	13	7	26.67
c	13	8	28.98
c	14	1	26.05
c	14	2	26.99
c	14	3	26.81
c	14	4	30.63
c	14	5	25.32
c	14	6	26.22
c	14	7	27
c	14	8	28.96
c	15	1	21.09
c	15	2	27.53
c	15	3	25.31
c	15	4	26.83
c	15	5	26.87
c	15	6	24.73
c	15	7	30.28
c	15	8	29.43
c	16	1	23.43
c	16	2	21.7
c	16	3	21.54
c	16	4	23.08
c	16	5	21.77
c	16	6	21.29
c	16	7	25.77
c	16	8	25.02
c	17	1	23.46
c	17	2	21.99
c	17	3	23.61
c	17	4	23.82
c	17	5	22.08
c	17	6	21.71
c	17	7	23.54
c	17	8	26.47
c	18	1	22.19
c	18	2	22.4
c	18	3	23.92
c	18	4	22.17
c	18	5	23.82
c	18	6	21.48
c	18	7	23.02
c	18	8	27.12
c	19	1	22.38
c	19	2	22.43
c	19	3	22.88
c	19	4	22.41
c	19	5	22.42
c	19	6	22.62
c	19	7	23.37
c	19	8	29.94
c	20	1	23.1
c	20	2	24.46
c	20	3	24.24
c	20	4	23.88
c	20	5	23.87
c	20	6	22.86
c	20	7	25.17
c	20	8	28.03
c	21	1	22.41
c	21	2	24.04
c	21	3	24.61
c	21	4	24.84
c	21	5	22.38
c	21	6	22.05
c	21	7	23.38
c	21	8	26.4
d	2	1	26.46
d	2	2	27.59
d	2	3	27.35
d	2	4	24.84
d	2	5	26.74
d	2	6	27.22
d	2	7	26.15
d	2	8	26.87
d	3	1	32.71
d	3	2	31.14
d	3	3	32.57
d	3	4	33.47
d	3	5	31.5
d	3	6	32.62
d	3	7	31.12
d	3	8	30.58
d	4	1	36.65
d	4	2	35.87
d	4	3	36.45
d	4	4	39.13
d	4	5	36.5
d	4	6	37.2
d	4	7	35.59
d	4	8	36.33
d	5	1	40.84
d	5	2	39.54
d	5	3	38.64
d	5	4	44.04
d	5	5	40.98
d	5	6	42.75
d	5	7	40.06
d	5	8	40.41
d	6	1	44.87
d	6	2	45.59
d	6	3	42.37
d	6	4	45.96
d	6	5	45.75
d	6	6	45.95
d	6	7	44.65
d	6	8	46.84
d	7	1	47.06
d	7	2	47.31
d	7	3	45.61
d	7	4	49.45
d	7	5	48.69
d	7	6	48.94
d	7	7	47.24
d	7	8	48.19
d	8	1	53.22
d	8	2	50.16
d	8	3	52.81
d	8	4	54.57
d	8	5	52.89
d	8	6	51.94
d	8	7	50.23
d	8	8	50.74
d	9	1	57.14
d	9	2	55.04
d	9	3	56.79
d	9	4	54.97
d	9	5	56.28
d	9	6	56.36
d	9	7	54.04
d	9	8	56.5
d	10	1	57.63
d	10	2	53.75
d	10	3	54.11
d	10	4	59.27
d	10	5	54.28
d	10	6	56.55
d	10	7	53.76
d	10	8	54.39
d	11	1	60.06
d	11	2	59.6
d	11	3	58.71
d	11	4	57.96
d	11	5	59.08
d	11	6	60.69
d	11	7	58.01
d	11	8	59.26
d	12	1	61.63
d	12	2	64.8
d	12	3	63.01
d	12	4	62.38
d	12	5	64.44
d	12	6	63.23
d	12	7	62.3
d	12	8	64.02
d	13	1	68.26
d	13	2	67.48
d	13	3	68.05
d	13	4	66.84
d	13	5	69.45
d	13	6	67.06
d	13	7	66.99
