TIPO;COD_VER_EXEC;N;W-Statistic;p-Value;Result
a;1.0;8;0.929929033512916;0.5154294587855847;DO NOT REJECT H0 (normal)
b;2.0;8;0.8505526451655694;0.09650467520492585;DO NOT REJECT H0 (normal)
b;3.0;8;0.781857919020125;0.018247765364300762;REJECT H0 (not normal)
b;4.0;8;0.869067196362638;0.14759398898428877;DO NOT REJECT H0 (normal)
b;5.0;8;0.8916818174590722;0.24259293252861291;DO NOT REJECT H0 (normal)
b;6.0;8;0.9422449837736262;0.6332957392939049;DO NOT REJECT H0 (normal)
b;7.0;8;0.8695505327698273;0.14921126215540353;DO NOT REJECT H0 (normal)
b;8.0;8;0.8997480570561919;0.28745313433412906;DO NOT REJECT H0 (normal)
b;9.0;8;0.8868366584898286;0.21862662741287403;DO NOT REJECT H0 (normal)
b;10.0;8;0.8443360458942076;0.08343315099204406;DO NOT REJECT H0 (normal)
b;11.0;8;0.5000412401728078;1.03451508138094e-05;REJECT H0 (not normal)
b;12.0;8;0.6154767227232854;0.00024101667472977816;REJECT H0 (not normal)
b;13.0;8;0.5290852337684745;2.307064483132499e-05;REJECT H0 (not normal)
b;14.0;8;0.5186985629199645;1.733099292494872e-05;REJECT H0 (not normal)
b;15.0;8;0.5517356812293603;4.292486750815256e-05;REJECT H0 (not normal)
b;16.0;8;0.6217553137888672;0.00028515688517248875;REJECT H0 (not normal)
b;17.0;8;0.5960941364502981;0.0001431156249724042;REJECT H0 (not normal)
b;18.0;8;0.6403779911600994;0.0004686715187310992;REJECT H0 (not normal)
b;19.0;8;0.62025119253557;0.00027390495560599326;REJECT H0 (not normal)
b;20.0;8;0.5827059106396622;9.966893927219569e-05;REJECT H0 (not normal)
b;21.0;8;0.8237209462736694;0.05105281883746937;DO NOT REJECT H0 (normal)
c;2.0;8;0.9553308644129832;0.7646365538217106;DO NOT REJECT H0 (normal)
c;3.0;8;0.978820100317288;0.9568311633111846;DO NOT REJECT H0 (normal)
c;4.0;8;0.9835610836865893;0.9783395872223725;DO NOT REJECT H0 (normal)
c;5.0;8;0.8635647995677216;0.13027693961062103;DO NOT REJECT H0 (normal)
c;6.0;8;0.8753238300734673;0.16980964934502796;DO NOT REJECT H0 (normal)
c;7.0;8;0.799783336351615;0.028473080115450647;REJECT H0 (not normal)
c;8.0;8;0.9729929137256813;0.9204032402456768;DO NOT REJECT H0 (normal)
c;9.0;8;0.8604408365156861;0.12129535429419996;DO NOT REJECT H0 (normal)
c;10.0;8;0.9566502241683633;0.7776558117371802;DO NOT REJECT H0 (normal)
c;11.0;8;0.9602739469850194;0.8127055723407489;DO NOT REJECT H0 (normal)
c;12.0;8;0.9079665971500206;0.3399668803291368;DO NOT REJECT H0 (normal)
c;13.0;8;0.9364806887045392;0.5768191042857274;DO NOT REJECT H0 (normal)
c;14.0;8;0.8765919157911225;0.1746635189376448;DO NOT REJECT H0 (normal)
c;15.0;8;0.9539518492804911;0.7509216376566095;DO NOT REJECT H0 (normal)
c;16.0;8;0.8691485497145031;0.147865081468397;DO NOT REJECT H0 (normal)
c;17.0;8;0.8583137162982346;0.11551049055000095;DO NOT REJECT H0 (normal)
c;18.0;8;0.8372035347709939;0.07049249408888851;DO NOT REJECT H0 (normal)
c;19.0;8;0.5211911133309934;1.856396271753652e-05;REJECT H0 (not normal)
c;20.0;8;0.829824848686299;0.05911886951287294;DO NOT REJECT H0 (normal)
c;21.0;8;0.9336994315817642;0.5503390505285484;DO NOT REJECT H0 (normal)
d;2.0;8;0.8969936937070315;0.27141304714098924;DO NOT REJECT H0 (normal)
d;3.0;8;0.9253399988899649;0.474669401334684;DO NOT REJECT H0 (normal)
d;4.0;8;0.8263635545371038;0.054406778831955944;DO NOT REJECT H0 (normal)
d;5.0;8;0.9419152358927837;0.6300179184796931;DO NOT REJECT H0 (normal)
d;6.0;8;0.8673266084223213;0.14190121081294976;DO NOT REJECT H0 (normal)
d;7.0;8;0.9555039033108698;0.7663502865854284;DO NOT REJECT H0 (normal)
d;8.0;8;0.9265900519040688;0.48557326710126897;DO NOT REJECT H0 (normal)
d;9.0;8;0.9067014110564224;0.33141928463322823;DO NOT REJECT H0 (normal)
d;10.0;8;0.8165384054880613;0.042907025240934774;REJECT H0 (not normal)
d;11.0;8;0.9616609705337692;0.8257665586711845;DO NOT REJECT H0 (normal)
d;12.0;8;0.9576580217057475;0.7875186375222039;DO NOT REJECT H0 (normal)
